id_visitante,pais_origen,edad,genero,destino,region,fecha_visita,dias_estadia,gasto_total,medio_transporte
V0027,Brasil,59,F,Huaraz,Áncash,2024-08-24,3,1500.0,Auto
V0028,Colombia,65,F,Trujillo,La Libertad,2024-10-11,4,1810.0,Auto
V0029,Argentina,29,F,Cusco Ciudad,Cusco,2024-09-11,2,1485.0,
V0030,España,22,F,Trujillo,La Libertad,2024-11-04,2,1727.0,Bus
V0031,Brasil,32,M,Trujillo,La Libertad,2025-08-11,3,1374.0,Avión
V0032,Argentina,28,F,Huaraz,Áncash,2024-11-21,2,1384.0,Desconocido
V0033,Chile,65,F,Trujillo,La Libertad,2024-01-14,5,667.0,Desconocido
V0034,Chile,79,F,Trujillo,La Libertad,2025-05-26,4,1560.0,Avión
V0035,Perú,54,M,Machu Picchu,Cusco,2024-12-13,5,1254.0,
V0036,Chile,19,M,Paracas,Ica,2024-03-11,3,1119.0,Avión
V0037,Brasil,45,F,Machu Picchu,Cusco,2025-09-20,5,975.0,Auto
V0038,Chile,63,M,Cusco Ciudad,Cusco,2024-01-28,5,1425.0,Bus
V0039,USA,32,F,Arequipa,Arequipa,2025-09-15,5,2210.0,Desconocido
V0040,México,43,M,Lago Titicaca,Puno,2024-09-21,3,1383.0,Bus
V0041,España,54,F,Huaraz,Áncash,2024-03-16,3,668.0,Tren
V0042,Colombia,22,M,Arequipa,Arequipa,2024-01-10,5,1781.0,Avión
V0043,España,49,F,Lago Titicaca,Puno,2024-06-25,5,960.0,Bus
V0044,México,75,M,Trujillo,La Libertad,2024-01-02,7,1678.0,Avión
V0045,Brasil,55,M,Arequipa,Arequipa,2024-11-03,3,2101.0,Avión
V0046,Perú,21,M,Cusco Ciudad,Cusco,2024-09-29,2,1159.0,Desconocido
V0047,Brasil,29,F,Cusco Ciudad,Cusco,2024-09-14,7,1418.0,Tren
V0048,Brasil,55,M,Huaraz,Áncash,2024-02-27,3,1819.0,Tren
V0049,España,77,F,Cusco Ciudad,Cusco,2024-06-01,1,980.0,Desconocido
V0050,Brasil,39,F,Machu Picchu,Cusco,2025-04-13,3,1819.0,Bus
V0051,Chile,69,F,Arequipa,Arequipa,2025-06-24,3,2107.0,Bus
V0052,Chile,67,F,Paracas,Ica,2024-10-22,3,1011.0,Bus
V0053,Chile,23,M,Trujillo,La Libertad,2024-08-28,5,1414.0,Avión
V0054,Perú,53,F,Cusco Ciudad,Cusco,2024-09-28,1,1148.0,Bus
V0055,Chile,62,M,Lago Titicaca,Puno,2024-10-31,4,1207.0,Desconocido
V0056,Argentina,59,M,Cusco Ciudad,Cusco,2024-10-24,1,1633.0,Bus
V0057,Colombia,33,M,Arequipa,Arequipa,2024-03-12,1,939.0,Avión
V0058,Argentina,62,M,Machu Picchu,Cusco,2025-06-19,3,1110.0,NA
V0059,Perú,19,M,Huaraz,Áncash,2024-10-14,1,407.0,NA
V0060,Argentina,51,M,Arequipa,Arequipa,2024-01-26,10,1221.0,Tren
V0061,USA,76,F,Huaraz,Áncash,2025-08-13,2,2142.0,
V0062,,39,F,Trujillo,La Libertad,2025-06-28,2,1693.0,Bus
V0063,Colombia,59,M,Arequipa,Arequipa,2024-08-01,1,1249.0,Bus
V0064,,69,M,Huaraz,Áncash,2025-02-02,3,1673.0,NA
V0065,USA,72,F,Machu Picchu,Cusco,2024-01-14,2,1462.0,Tren
V0066,,16,M,Huaraz,Áncash,2025-03-22,4,1466.0,Tren
V0067,Chile,24,M,Arequipa,Arequipa,2024-12-04,2,1306.0,Auto
V0068,Argentina,36,M,Cusco Ciudad,Cusco,2024-02-11,3,1538.0,Desconocido
V0069,Argentina,70,M,Huaraz,Áncash,2024-02-26,7,1001.0,Bus
V0070,Chile,68,F,Huaraz,Áncash,2025-05-12,2,2004.0,Bus
V0071,México,52,M,Trujillo,La Libertad,2024-10-14,3,1191.0,Bus
V0072,Brasil,47,F,Paracas,Ica,2024-07-04,2,1170.0,Desconocido
V0073,Perú,73,F,Cusco Ciudad,Cusco,2025-01-06,5,1375.0,Auto
V0074,Perú,38,F,Lago Titicaca,Puno,2025-01-21,5,1086.0,Bus
V0075,Colombia,63,F,Trujillo,La Libertad,2025-05-04,7,786.0,Tren
V0076,Colombia,59,M,Huaraz,Áncash,2025-02-07,2,1505.0,Auto
V0077,Colombia,21,F,Lago Titicaca,Puno,2025-07-09,2,1339.0,Desconocido
V0078,España,44,F,Trujillo,La Libertad,2024-07-29,2,1283.0,
V0079,Colombia,24,F,Trujillo,La Libertad,2025-01-18,7,1479.0,Avión
V0080,Colombia,52,M,Huaraz,Áncash,2025-09-26,7,1568.0,Bus
V0081,USA,78,F,Paracas,Ica,2024-07-07,3,1755.0,Auto
V0082,USA,17,F,Cusco Ciudad,Cusco,2025-09-11,1,1643.0,Avión
V0083,España,19,M,Cusco Ciudad,Cusco,2024-10-09,10,1619.0,Desconocido
V0084,México,58,M,Paracas,Ica,2025-06-05,5,1256.0,Tren
V0085,Argentina,66,M,Lago Titicaca,Puno,2024-07-09,3,1363.0,
V0086,México,50,M,Paracas,Ica,2024-03-19,2,2199.0,Bus
V0087,España,32,F,Cusco Ciudad,Cusco,2025-09-15,3,1288.0,
V0088,México,31,M,Huaraz,Áncash,2024-09-07,5,1765.0,Auto
V0089,Argentina,45,M,Machu Picchu,Cusco,2025-04-04,10,1629.0,Auto
V0090,Perú,57,M,Huaraz,Áncash,2024-06-20,3,920.0,Auto
V0091,México,57,F,Arequipa,Arequipa,2024-07-14,3,1212.0,
V0092,Colombia,49,F,Arequipa,Arequipa,2024-05-29,4,883.0,Bus
V0093,,48,F,Cusco Ciudad,Cusco,2024-09-22,2,1365.0,Bus
V0094,Argentina,44,F,Arequipa,Arequipa,2025-07-19,4,1135.0,Avión
V0095,Perú,52,M,Paracas,Ica,2024-02-02,3,1424.0,NA
V0096,Argentina,28,F,Trujillo,La Libertad,2025-06-20,5,1289.0,Auto
V0097,Perú,40,F,Paracas,Ica,2025-01-19,1,660.0,Avión
V0098,Argentina,29,F,Machu Picchu,Cusco,2025-01-07,5,635.0,
V0099,Colombia,57,F,Cusco Ciudad,Cusco,2025-08-15,10,1367.0,Avión
V0100,México,51,M,Lago Titicaca,Puno,2024-06-30,3,659.0,Desconocido
V0101,México,29,F,Machu Picchu,Cusco,2024-04-25,7,1909.0,NA
V0102,,62,M,Trujillo,La Libertad,2025-09-11,2,1456.0,Avión
V0103,España,57,F,Trujillo,La Libertad,2025-02-18,10,1000.0,Desconocido
V0104,Colombia,76,M,Paracas,Ica,2025-05-07,1,1045.0,Avión
V0105,Colombia,76,F,Cusco Ciudad,Cusco,2024-08-17,3,1520.0,Tren
V0106,México,46,F,Arequipa,Arequipa,2025-05-20,1,1027.0,Desconocido
V0107,Chile,33,F,Trujillo,La Libertad,2025-06-29,5,1415.0,Auto
V0108,Perú,65,M,Paracas,Ica,2024-07-22,2,872.0,Avión
V0109,Chile,29,M,Cusco Ciudad,Cusco,2024-03-05,1,2230.0,Avión
V0110,Perú,55,F,Cusco Ciudad,Cusco,2025-08-26,2,527.0,Tren
V0111,Colombia,70,F,Huaraz,Áncash,2025-02-25,4,1018.0,Bus
V0112,Colombia,70,F,Cusco Ciudad,Cusco,2025-03-16,3,1063.0,Auto
V0113,USA,71,F,Paracas,Ica,2024-07-24,1,1551.0,Bus
V0114,España,51,M,Arequipa,Arequipa,2024-04-17,1,1612.0,
V0115,Chile,31,M,Lago Titicaca,Puno,2024-04-09,2,1517.0,
V0116,Brasil,38,F,Huaraz,Áncash,2025-07-15,2,897.0,Avión
V0117,España,70,M,Huaraz,Áncash,2024-04-25,1,1643.0,Desconocido
V0118,España,52,F,Trujillo,La Libertad,2024-11-01,3,1229.0,Desconocido
V0119,España,26,F,Huaraz,Áncash,2025-03-31,5,134.0,
V0120,USA,56,F,Paracas,Ica,2024-12-25,7,1509.0,
V0121,Argentina,56,M,Cusco Ciudad,Cusco,2025-06-03,5,1829.0,Auto
V0122,Chile,27,M,Huaraz,Áncash,2024-06-11,2,986.0,Avión
V0123,Colombia,40,F,Trujillo,La Libertad,2024-12-16,3,553.0,Auto
V0124,USA,25,F,Lago Titicaca,Puno,2024-11-22,2,1307.0,Desconocido
V0125,Chile,36,F,Machu Picchu,Cusco,2025-07-08,1,1920.0,Bus
V0126,USA,41,M,Machu Picchu,Cusco,2024-01-23,4,657.0,Avión
V0127,Perú,68,F,Arequipa,Arequipa,2025-08-23,3,1221.0,Avión
V0128,España,29,F,Arequipa,Arequipa,2025-09-06,1,1152.0,Avión
V0129,Perú,56,F,Paracas,Ica,2024-09-04,3,726.0,Bus
V0130,Chile,53,M,Paracas,Ica,2024-11-25,2,1314.0,Avión
V0131,Argentina,28,F,Machu Picchu,Cusco,2025-06-18,5,1671.0,
V0132,USA,33,M,Paracas,Ica,2025-01-05,2,1346.0,Desconocido
V0133,Chile,29,M,Arequipa,Arequipa,2024-02-25,7,554.0,Avión
V0134,México,45,F,Machu Picchu,Cusco,2024-12-31,3,1327.0,
V0135,México,58,F,Arequipa,Arequipa,2024-03-19,7,1561.0,Bus
V0136,USA,71,M,Huaraz,Áncash,2024-03-04,2,1623.0,
V0137,Chile,17,M,Paracas,Ica,2025-03-09,3,1815.0,Avión
V0138,Argentina,33,F,Paracas,Ica,2024-03-28,10,1386.0,Auto
V0139,Argentina,58,M,Huaraz,Áncash,2024-12-02,2,1652.0,Avión
V0140,España,40,M,Cusco Ciudad,Cusco,2025-03-03,2,1598.0,NA
V0141,Perú,76,M,Huaraz,Áncash,2025-01-21,2,104.0,Tren
V0142,USA,47,M,Trujillo,La Libertad,2025-05-10,10,1105.0,Bus
V0143,España,44,F,Trujillo,La Libertad,2025-01-23,1,1511.0,Desconocido
V0144,Argentina,65,M,Lago Titicaca,Puno,2024-08-30,3,1642.0,Bus
V0145,Argentina,42,M,Arequipa,Arequipa,2024-01-28,7,1136.0,Bus
V0146,USA,30,M,Trujillo,La Libertad,2024-08-16,2,1377.0,Auto
V0147,Perú,22,M,Lago Titicaca,Puno,2025-04-16,3,614.0,Auto
V0148,Brasil,39,M,Huaraz,Áncash,2025-09-10,3,1473.0,Tren
V0149,USA,63,F,Paracas,Ica,2025-07-25,3,1371.0,
V0150,España,58,F,Trujillo,La Libertad,2024-06-12,7,911.0,Bus
V0151,España,64,F,Cusco Ciudad,Cusco,2024-01-28,3,1424.0,Auto
V0152,Argentina,64,F,Lago Titicaca,Puno,2024-04-06,7,1354.0,
V0153,Chile,36,M,Huaraz,Áncash,2025-09-02,4,1922.0,
V0154,España,68,M,Cusco Ciudad,Cusco,2025-08-16,2,1760.0,NA
V0155,,38,M,Lago Titicaca,Puno,2024-03-11,3,1724.0,
V0156,USA,36,F,Huaraz,Áncash,2024-01-28,2,1935.0,Avión
V0157,USA,43,F,Trujillo,La Libertad,2024-03-10,3,1629.0,
V0158,Colombia,65,M,Trujillo,La Libertad,2025-03-08,7,1504.0,Desconocido
V0159,USA,51,M,Lago Titicaca,Puno,2024-07-11,5,874.0,
V0160,Perú,57,M,Arequipa,Arequipa,2025-06-04,5,807.0,Auto
V0161,Chile,49,M,Arequipa,Arequipa,2025-08-30,4,2002.0,Avión
V0162,USA,42,F,Huaraz,Áncash,2025-04-15,2,1056.0,Avión
V0163,México,24,M,Machu Picchu,Cusco,2025-07-11,4,1343.0,Bus
V0164,Perú,57,M,Paracas,Ica,2024-06-07,1,260.0,Tren
V0165,Colombia,51,M,Arequipa,Arequipa,2024-05-23,4,1864.0,Avión
V0166,USA,70,F,Lago Titicaca,Puno,2025-06-16,3,1639.0,Tren
V0167,Argentina,60,F,Cusco Ciudad,Cusco,2024-08-16,5,2057.0,Bus
V0168,Argentina,42,F,Arequipa,Arequipa,2025-08-10,1,1695.0,Bus
V0169,Colombia,28,F,Huaraz,Áncash,2024-08-05,3,1596.0,Bus
V0170,Brasil,49,F,Cusco Ciudad,Cusco,2025-09-03,2,1421.0,Tren
V0171,Chile,20,M,Huaraz,Áncash,2025-02-13,7,637.0,Auto
V0172,México,70,F,Machu Picchu,Cusco,2025-09-04,5,1419.0,
V0173,USA,43,F,Lago Titicaca,Puno,2024-05-09,5,1788.0,Bus
V0174,Brasil,29,F,Arequipa,Arequipa,2025-09-17,5,1367.0,Bus
V0175,Brasil,75,M,Trujillo,La Libertad,2024-07-14,2,2140.0,Bus
V0176,México,61,F,Paracas,Ica,2025-05-19,4,1264.0,Avión
V0177,Perú,18,M,Trujillo,La Libertad,2024-07-25,7,511.0,Auto
V0178,Colombia,49,F,Cusco Ciudad,Cusco,2024-11-05,5,1319.0,Bus
V0179,Colombia,47,F,Huaraz,Áncash,2024-08-07,2,784.0,Tren
V0180,Chile,68,F,Lago Titicaca,Puno,2024-10-10,3,1474.0,Auto
V0181,Chile,54,F,Machu Picchu,Cusco,2025-03-11,3,978.0,
V0182,España,61,M,Paracas,Ica,2024-09-27,7,1832.0,
V0183,Colombia,16,M,Lago Titicaca,Puno,2024-05-04,2,1322.0,
V0184,Perú,75,M,Cusco Ciudad,Cusco,2024-11-06,2,1163.0,Avión
V0185,USA,72,F,Huaraz,Áncash,2024-04-11,3,1059.0,Desconocido
V0186,USA,74,F,Paracas,Ica,2025-05-03,3,1425.0,Avión
V0187,Perú,57,F,Paracas,Ica,2024-07-22,3,758.0,Tren
V0188,Perú,69,M,Trujillo,La Libertad,2025-06-20,10,1563.0,Desconocido
V0189,Chile,26,M,Trujillo,La Libertad,2024-11-14,10,1670.0,Desconocido
V0190,USA,74,M,Arequipa,Arequipa,2024-10-27,3,1160.0,NA
V0191,Brasil,69,F,Cusco Ciudad,Cusco,2024-07-02,3,1219.0,
V0192,USA,28,M,Machu Picchu,Cusco,2024-01-13,2,809.0,Bus
V0193,Chile,51,F,Trujillo,La Libertad,2025-08-22,2,967.0,Tren
V0194,Chile,27,M,Arequipa,Arequipa,2024-02-29,3,796.0,Tren
V0195,Brasil,41,M,Trujillo,La Libertad,2024-10-30,2,1756.0,Bus
V0196,Colombia,72,M,Lago Titicaca,Puno,2024-02-13,7,1371.0,
V0197,Perú,40,F,Paracas,Ica,2024-04-23,2,1449.0,Avión
V0198,Chile,30,M,Lago Titicaca,Puno,2024-07-01,5,1878.0,
V0199,Perú,56,M,Lago Titicaca,Puno,2025-04-15,7,713.0,Bus
V0200,España,79,F,Huaraz,Áncash,2024-07-14,5,1751.0,Tren
V0201,Perú,71,F,Cusco Ciudad,Cusco,2024-07-29,4,1360.0,Bus
V0202,USA,76,M,Paracas,Ica,2025-04-24,3,1360.0,Auto
V0203,Perú,25,M,Cusco Ciudad,Cusco,2024-03-23,2,1468.0,Auto
V0204,Brasil,31,M,Machu Picchu,Cusco,2024-04-06,2,1154.0,Avión
V0205,Colombia,15,F,Huaraz,Áncash,2025-05-06,3,1690.0,Desconocido
V0206,Perú,46,F,Trujillo,La Libertad,2024-01-20,3,917.0,
V0207,Argentina,33,F,Arequipa,Arequipa,2025-05-20,2,1833.0,Desconocido
V0208,USA,53,F,Trujillo,La Libertad,2024-09-19,2,1318.0,Desconocido
V0209,Brasil,73,F,Machu Picchu,Cusco,2024-09-06,2,991.0,
V0210,USA,31,M,Machu Picchu,Cusco,2025-07-18,3,1246.0,Tren
V0211,USA,19,M,Lago Titicaca,Puno,2024-12-30,4,1282.0,Bus
V0212,España,31,M,Huaraz,Áncash,2025-03-06,7,1690.0,Tren
V0213,Chile,24,F,Paracas,Ica,2024-08-30,7,761.0,Desconocido
V0214,Brasil,19,F,Huaraz,Áncash,2024-01-29,7,1299.0,
V0215,Perú,66,F,Lago Titicaca,Puno,2024-05-18,2,1099.0,NA
V0216,Argentina,27,M,Paracas,Ica,2024-01-22,7,1760.0,Tren
V0217,USA,70,M,Paracas,Ica,2024-08-14,3,1609.0,Desconocido
V0218,Perú,41,M,Cusco Ciudad,Cusco,2025-05-08,4,1164.0,Tren
V0219,Colombia,52,M,Arequipa,Arequipa,2024-06-19,4,1748.0,Avión
V0220,Chile,62,M,Trujillo,La Libertad,2024-06-25,7,1723.0,Avión
V0221,Colombia,47,M,Paracas,Ica,2025-08-06,1,1764.0,
V0222,Chile,75,F,Lago Titicaca,Puno,2024-02-26,7,930.0,Avión
V0223,Colombia,43,M,Paracas,Ica,2025-05-10,2,1057.0,Bus
V0224,España,30,M,Arequipa,Arequipa,2024-10-18,2,1511.0,Desconocido
V0225,Brasil,59,F,Machu Picchu,Cusco,2025-02-11,3,1381.0,Tren
V0226,Brasil,17,F,Huaraz,Áncash,2025-01-02,2,1628.0,
V0227,Perú,33,M,Cusco Ciudad,Cusco,2025-07-13,2,1107.0,Desconocido
V0228,Chile,50,F,Machu Picchu,Cusco,2024-10-06,4,2012.0,Desconocido
V0229,Argentina,47,M,Cusco Ciudad,Cusco,2024-10-24,7,1164.0,
V0230,Argentina,79,M,Lago Titicaca,Puno,2024-05-30,3,1102.0,Desconocido
V0231,Argentina,68,M,Machu Picchu,Cusco,2024-07-25,2,1019.0,Tren
V0232,España,63,F,Machu Picchu,Cusco,2025-10-01,3,946.0,Bus
V0233,España,26,F,Huaraz,Áncash,2024-07-15,7,2399.0,Tren
V0234,España,40,M,Lago Titicaca,Puno,2025-06-08,3,1801.0,Tren
V0235,Colombia,49,M,Lago Titicaca,Puno,2024-12-17,2,1306.0,Tren
V0236,España,57,M,Arequipa,Arequipa,2024-06-28,5,1605.0,Desconocido
V0237,Perú,28,F,Machu Picchu,Cusco,2025-08-18,3,1236.0,Tren
V0238,Perú,41,M,Cusco Ciudad,Cusco,2024-04-26,5,1489.0,
V0239,USA,37,F,Huaraz,Áncash,2024-04-15,2,948.0,
V0240,España,31,M,Trujillo,La Libertad,2025-07-14,5,1182.0,Avión
V0241,México,42,M,Machu Picchu,Cusco,2024-04-01,2,1392.0,Tren
V0242,México,32,F,Arequipa,Arequipa,2024-07-31,2,1093.0,Bus
V0243,Chile,65,M,Cusco Ciudad,Cusco,2025-06-05,4,2597.0,Avión
V0244,Perú,23,M,Huaraz,Áncash,2025-06-19,10,1278.0,Bus
V0245,Perú,25,F,Machu Picchu,Cusco,2024-07-10,5,595.0,Tren
V0246,Perú,67,F,Machu Picchu,Cusco,2024-12-07,4,1200.0,Bus
V0247,Brasil,59,M,Lago Titicaca,Puno,2025-09-27,5,1113.0,Tren
V0248,España,45,M,Huaraz,Áncash,2024-02-13,5,1880.0,Tren
V0249,México,47,F,Trujillo,La Libertad,2024-09-19,5,1620.0,Bus
V0250,Colombia,29,M,Huaraz,Áncash,2024-01-08,3,831.0,Tren
V0251,Perú,20,M,Cusco Ciudad,Cusco,2025-02-07,1,345.0,Desconocido
V0252,Perú,63,F,Lago Titicaca,Puno,2025-03-11,2,799.0,Avión
V0253,Argentina,78,F,Trujillo,La Libertad,2024-06-16,3,1138.0,Bus
V0254,España,69,F,Machu Picchu,Cusco,2024-03-08,3,1304.0,Bus
V0255,Perú,63,M,Trujillo,La Libertad,2024-10-25,7,1265.0,Tren
V0256,Chile,79,F,Cusco Ciudad,Cusco,2024-10-26,5,993.0,Avión
V0257,España,30,F,Huaraz,Áncash,2024-07-16,2,1009.0,Auto
V0258,Colombia,44,M,Machu Picchu,Cusco,2024-12-24,5,1795.0,Auto
V0259,México,65,M,Trujillo,La Libertad,2025-07-29,2,2101.0,
V0260,USA,79,M,Machu Picchu,Cusco,2024-06-05,5,1705.0,Auto
V0261,Argentina,50,M,Arequipa,Arequipa,2024-10-14,1,1353.0,Auto
V0262,USA,30,M,Arequipa,Arequipa,2024-05-03,2,1498.0,
V0263,Perú,26,F,Cusco Ciudad,Cusco,2024-09-27,5,886.0,Bus
V0264,USA,15,F,Arequipa,Arequipa,2025-04-13,5,1337.0,
V0265,Brasil,18,F,Cusco Ciudad,Cusco,2025-03-06,1,664.0,
V0266,Chile,68,F,Machu Picchu,Cusco,2024-02-06,7,1595.0,Auto
V0267,Colombia,25,F,Cusco Ciudad,Cusco,2024-02-20,7,1244.0,Bus
V0268,Brasil,33,M,Trujillo,La Libertad,2024-04-26,3,1000.0,
V0269,Brasil,25,F,Cusco Ciudad,Cusco,2024-06-10,3,1621.0,
V0270,Chile,78,F,Arequipa,Arequipa,2024-09-11,7,1688.0,Auto
V0271,España,44,F,Huaraz,Áncash,2025-02-21,10,1478.0,NA
V0272,Chile,33,M,Huaraz,Áncash,2025-02-18,3,1200.0,Avión
V0273,Argentina,34,F,Arequipa,Arequipa,2025-01-12,2,683.0,
V0274,México,57,F,Arequipa,Arequipa,2024-07-24,3,1017.0,Auto
V0275,Brasil,31,M,Lago Titicaca,Puno,2024-06-03,4,982.0,NA
V0276,Chile,17,F,Arequipa,Arequipa,2025-09-22,3,1003.0,Tren
V0277,España,17,M,Cusco Ciudad,Cusco,2024-12-28,3,1478.0,Tren
V0278,Argentina,42,F,Machu Picchu,Cusco,2024-05-10,3,2111.0,NA
V0279,Chile,70,M,Machu Picchu,Cusco,2024-12-01,3,2269.0,Desconocido
V0280,Argentina,37,F,Lago Titicaca,Puno,2025-04-01,5,1577.0,NA
V0281,España,65,F,Arequipa,Arequipa,2024-12-28,4,1542.0,Bus
V0282,Argentina,60,M,Huaraz,Áncash,2024-07-09,3,1228.0,Tren
V0283,España,23,M,Cusco Ciudad,Cusco,2024-12-23,7,1542.0,
V0284,Chile,23,M,Paracas,Ica,2025-05-21,7,1669.0,Auto
V0285,Argentina,29,F,Huaraz,Áncash,2025-03-19,1,1564.0,Desconocido
V0286,Colombia,18,F,Cusco Ciudad,Cusco,2024-07-17,2,1456.0,NA
V0287,Brasil,23,F,Trujillo,La Libertad,2025-04-26,3,1385.0,Auto
V0288,Brasil,20,F,Lago Titicaca,Puno,2024-01-27,2,1765.0,
V0289,USA,38,F,Paracas,Ica,2025-05-01,4,1709.0,Desconocido
V0290,Brasil,52,M,Trujillo,La Libertad,2024-10-15,5,384.0,Bus
V0291,Brasil,38,M,Paracas,Ica,2024-10-11,1,1491.0,Bus
V0292,España,52,F,Lago Titicaca,Puno,2025-07-11,5,1410.0,Desconocido
V0293,Chile,19,F,Lago Titicaca,Puno,2025-02-06,2,1545.0,Avión
V0294,USA,59,F,Arequipa,Arequipa,2024-06-07,5,463.0,Bus
V0295,España,77,M,Huaraz,Áncash,2025-08-23,3,1608.0,Tren
V0296,Colombia,35,F,Trujillo,La Libertad,2024-03-26,3,1634.0,Auto
V0297,España,27,M,Paracas,Ica,2024-05-22,7,1335.0,Auto
V0298,Argentina,16,M,Paracas,Ica,2024-02-11,1,1238.0,Bus
V0299,Chile,43,F,Machu Picchu,Cusco,2024-05-29,2,1442.0,Auto
V0300,Argentina,63,F,Machu Picchu,Cusco,2025-04-03,2,1826.0,Auto
V0301,,39,M,Lago Titicaca,Puno,2024-10-06,5,1025.0,Avión
V0302,Perú,67,F,Lago Titicaca,Puno,2024-06-30,1,295.0,
V0303,Chile,53,F,Cusco Ciudad,Cusco,2024-01-07,3,1893.0,Avión
V0304,USA,71,F,Trujillo,La Libertad,2024-08-12,7,1398.0,Bus
V0305,Chile,29,M,Lago Titicaca,Puno,2024-07-06,7,604.0,Avión
V0306,Argentina,75,M,Trujillo,La Libertad,2024-12-26,3,1014.0,Auto
V0307,México,41,F,Lago Titicaca,Puno,2024-03-07,5,1458.0,Desconocido
V0308,Brasil,61,M,Machu Picchu,Cusco,2025-04-22,3,875.0,Avión
V0309,Chile,51,M,Machu Picchu,Cusco,2025-04-26,10,2095.0,
V0310,España,16,M,Trujillo,La Libertad,2024-05-19,5,1745.0,Avión
V0311,USA,64,F,Arequipa,Arequipa,2024-06-08,4,1557.0,
V0312,USA,23,M,Paracas,Ica,2024-08-26,7,2024.0,
V0313,Chile,68,M,Arequipa,Arequipa,2025-05-08,10,1188.0,Avión
V0314,Chile,44,F,Lago Titicaca,Puno,2024-05-08,3,1680.0,
V0315,Brasil,28,M,Machu Picchu,Cusco,2025-05-02,7,2128.0,Auto
V0316,Chile,50,M,Machu Picchu,Cusco,2025-01-18,5,1356.0,Bus
V0317,Perú,22,M,Cusco Ciudad,Cusco,2024-03-10,7,908.0,Desconocido
V0318,Brasil,42,F,Paracas,Ica,2024-12-19,2,1611.0,Desconocido
V0319,México,75,F,Cusco Ciudad,Cusco,2024-12-16,1,1476.0,Bus
V0320,Chile,73,F,Arequipa,Arequipa,2024-05-30,7,1523.0,Tren
V0321,Chile,24,M,Paracas,Ica,2024-01-11,3,1038.0,Auto
V0322,Brasil,46,M,Lago Titicaca,Puno,2025-07-19,2,1237.0,Tren
V0323,Argentina,40,F,Lago Titicaca,Puno,2025-02-12,2,1307.0,Desconocido
V0324,México,24,F,Paracas,Ica,2025-08-24,2,1642.0,Bus
V0325,Brasil,44,M,Huaraz,Áncash,2025-09-26,3,985.0,Avión
V0326,Brasil,66,M,Arequipa,Arequipa,2025-03-25,3,566.0,Avión
V0327,Chile,79,M,Machu Picchu,Cusco,2025-03-04,5,1263.0,Desconocido
V0328,España,62,F,Huaraz,Áncash,2024-02-11,3,1434.0,Bus
V0329,,59,M,Machu Picchu,Cusco,2024-07-17,3,1389.0,
V0330,Chile,36,F,Cusco Ciudad,Cusco,2024-02-26,5,1285.0,Tren
V0331,Perú,79,M,Huaraz,Áncash,2025-08-21,1,69.0,Bus
V0332,México,63,F,Machu Picchu,Cusco,2024-07-09,3,1193.0,Avión
V0333,USA,64,M,Huaraz,Áncash,2024-09-02,7,1547.0,NA
V0334,Colombia,57,M,Lago Titicaca,Puno,2024-12-06,2,1320.0,Avión
V0335,Argentina,18,F,Paracas,Ica,2025-05-16,1,1054.0,Desconocido
V0336,España,51,F,Trujillo,La Libertad,2024-10-27,2,1906.0,Avión
